0,1
#EXPORTTYPE:                 ,DATA COMPARE                                      
#FILE:                       ,Polyester_Carpet_High_Pile_N2_3K_230926_R1.ngb-ss3
#FORMAT:                     ,NETZSCH5                                          
#FTYPE:                      ,ANSI                                              
#IDENTITY:                   ,Poly_Carpet_3K_1                                  
#DECIMAL:                    ,POINT                                             
#SEPARATOR:                  ,COMMA                                             
#MTYPE:                      ,DSC                                               
#INSTRUMENT:                 ,NETZSCH STA 449F3                                 
#PROJECT:                    ,NIJ 2019                                          
#DATE/TIME:                  ,9/26/2023 16:44:09 (UTC-4)                        
#CORR. FILE:                 ,                                                  
#TEMPCAL:                    ,28-07-2023 13:05                                  
#SENSITIVITY:                ,28-07-2023 15:27                                  
#LABORATORY:                 ,UL FSRI                                           
#OPERATOR:                   ,John                                              
#REMARK:                     ,Poly_Carpet_3K_1 (High Pile)                      
#SAMPLE:                     ,Poly_Carpet_3K_1                                  
#SAMPLE MASS /mg:            ,4.05                                              
#MATERIAL:                   ,Polyester Carpet                                  
#REFERENCE:                  ,                                                  
#REFERENCE MASS /mg:         ,0                                                 
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,241.61                                            
#REFERENCE CRUCIBLE MASS /mg:,246.46                                            
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                              
#TG RANGE /mg:               ,35000                                             
#TAU-R:                      ,---                                               
#CORR. CODE:                 ,000                                               
#EXO:                        ,-1                                                
#RANGE:                      ,50°C....750°C/0.0....3.0K/min                     
#SEGMENT:                    ,S1-4/4                                            
#SEG. 1:                     ,50°C/00:10/50°C                                   
#SEG. 2:                     ,50°C/3.0(K/min)/750°C                             
#SEG. 3:                     ,750°C/00:05/750°C                                 
#SEG. 4:                     ,750°C/00:05/750°C                                 
