#EXPORTTYPE,NGB PARSER
#FILE,127E_New_Yorker_Buckle_STA_N2_10K_250529_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,127E_New_Yorker_Buckle
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2025-05-29T21:14:58+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"127E, Buckle from the MSA N5A New Yorker fire helmet, sample # 127.
Sample vial label: ""127E_New_Yorker_Buckle May 15, 2025""
Neon yellow powder."
#SAMPLE,127E_New_Yorker_Buckle
#SAMPLE MASS/mg,3.99
#MATERIAL,127E_New_Yorker_Buc
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,254.24
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
