0,1
#EXPORTTYPE:                 ,DATA COMPARE                          
#FILE:                       ,EIFS_Mesh_STA_N2_10K_230206_R1.ngb-ss3
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ANSI                                  
#IDENTITY:                   ,EIFS_Mesh_10K_1                       
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,DSC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F3                     
#PROJECT:                    ,NIJ 2019                              
#DATE/TIME:                  ,2/6/2023 12:12:37 (UTC-5)             
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,31-01-2023 20:55                      
#SENSITIVITY:                ,31-01-2023 20:50                      
#LABORATORY:                 ,UL FSRI                               
#OPERATOR:                   ,Grayson                               
#REMARK:                     ,EIFS Mesh Component                   
#SAMPLE:                     ,EIFS_Mesh_10K_1                       
#SAMPLE MASS /mg:            ,3.99                                  
#MATERIAL:                   ,Fiberglass                            
#REFERENCE:                  ,                                      
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                     
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
#TAU-R:                      ,---                                   
#CORR. CODE:                 ,000                                   
#EXO:                        ,-1                                    
#RANGE:                      ,50°C....750°C/0.0....10.0K/min        
#SEGMENT:                    ,S1-3/3                                
#SEG. 1:                     ,50°C/00:10/50°C                       
#SEG. 2:                     ,50°C/10.0(K/min)/750°C                
#SEG. 3:                     ,750°C/00:05/750°C                     
