0,1
#EXPORTTYPE:                 ,DATA COMPARE                        
#FILE:                       ,Aerogel_STA_N2_30K_240108_R3.ngb-ss3
#FORMAT:                     ,NETZSCH5                            
#FTYPE:                      ,ANSI                                
#IDENTITY:                   ,Correction_30K_3                    
#DECIMAL:                    ,POINT                               
#SEPARATOR:                  ,COMMA                               
#MTYPE:                      ,DSC                                 
#INSTRUMENT:                 ,NETZSCH STA 449F3                   
#PROJECT:                    ,NIJ 2019                            
#DATE/TIME:                  ,1/8/2024 12:20:35 (UTC-5)           
#CORR. FILE:                 ,                                    
#TEMPCAL:                    ,13-12-2023 13:56                    
#SENSITIVITY:                ,13-12-2023 13:56                    
#LABORATORY:                 ,UL FSRI                             
#OPERATOR:                   ,John                                
#REMARK:                     ,Aerogel supplied by Yan Ding        
#SAMPLE:                     ,Correction_30K_3                    
#SAMPLE MASS /mg:            ,4.01                                
#MATERIAL:                   ,Aerogel                             
#REFERENCE:                  ,                                    
#REFERENCE MASS /mg:         ,0                                   
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,250.49                              
#REFERENCE CRUCIBLE MASS /mg:,246.46                              
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                
#TG RANGE /mg:               ,35000                               
#TAU-R:                      ,---                                 
#CORR. CODE:                 ,000                                 
#EXO:                        ,-1                                  
#RANGE:                      ,50°C....750°C/0.0....30.0K/min      
#SEGMENT:                    ,S1-3/3                              
#SEG. 1:                     ,50°C/00:10/50°C                     
#SEG. 2:                     ,50°C/30.0(K/min)/750°C              
#SEG. 3:                     ,750°C/00:05/750°C                   
