0,1
#EXPORTTYPE:                 ,DATA COMPARE                             
#FILE:                       ,Polyester_MP_STA_N2_30K_220104_R3.ngb-ss3
#FORMAT:                     ,NETZSCH5                                 
#FTYPE:                      ,ANSI                                     
#IDENTITY:                   ,Poly_Carpet_Correction                   
#DECIMAL:                    ,POINT                                    
#SEPARATOR:                  ,COMMA                                    
#MTYPE:                      ,DSC                                      
#INSTRUMENT:                 ,NETZSCH STA 449F3                        
#PROJECT:                    ,NIJ 2019                                 
#DATE/TIME:                  ,1/4/2022 08:24:26 (UTC-5)                
#CORR. FILE:                 ,                                         
#TEMPCAL:                    ,07-12-2021 13:10                         
#SENSITIVITY:                ,07-12-2021 13:25                         
#LABORATORY:                 ,UL FSRI                                  
#OPERATOR:                   ,Conor                                    
#REMARK:                     ,                                         
#SAMPLE:                     ,Poly_Carpet_Correction                   
#SAMPLE MASS /mg:            ,4.00                                     
#MATERIAL:                   ,Engineered Flooring                      
#REFERENCE:                  ,                                         
#REFERENCE MASS /mg:         ,0                                        
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,0                                        
#REFERENCE CRUCIBLE MASS /mg:,0                                        
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                     
#TG RANGE /mg:               ,35000                                    
#TAU-R:                      ,---                                      
#CORR. CODE:                 ,000                                      
#EXO:                        ,-1                                       
#RANGE:                      ,50°C....750°C/0.0....30.0K/min           
#SEGMENT:                    ,S1-3/3                                   
#SEG. 1:                     ,50°C/00:10/50°C                          
#SEG. 2:                     ,50°C/30.0(K/min)/750°C                   
#SEG. 3:                     ,750°C/00:05/750°C                        
