#EXPORTTYPE,NGB PARSER
#FILE,127F_New_Yorker_Strap_STA_N2_10K_250530_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,127F_New_Yorker_Strap
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2025-05-30T20:51:27+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Chin strap from the MSA N5A New Yorker fire helmet, sample # 127.
Sample vial label: ""127F_New_Yorker_Strap  May 16, 2025""
Dark black powder, bit of silvery look to it.
Very small particles observed on outside of crucible under magnifying glass."
#SAMPLE,127F_New_Yorker_Strap
#SAMPLE MASS/mg,3.99
#MATERIAL,127F_New_Yorker_Stra
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,256.27
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
