0,1
#EXPORTTYPE:                 ,DATA COMPARE                                   
#FILE:                       ,Polyester_Carpet_MP_STA_N2_3K_220104_R1.ngb-ss3
#FORMAT:                     ,NETZSCH5                                       
#FTYPE:                      ,ANSI                                           
#IDENTITY:                   ,Poly_Carpet_3K                                 
#DECIMAL:                    ,POINT                                          
#SEPARATOR:                  ,COMMA                                          
#MTYPE:                      ,DSC                                            
#INSTRUMENT:                 ,NETZSCH STA 449F3                              
#PROJECT:                    ,NIJ 2019                                       
#DATE/TIME:                  ,1/4/2022 14:02:18 (UTC-5)                      
#CORR. FILE:                 ,                                               
#TEMPCAL:                    ,07-12-2021 13:16                               
#SENSITIVITY:                ,08-12-2021 11:25                               
#LABORATORY:                 ,UL FSRI                                        
#OPERATOR:                   ,Mark                                           
#REMARK:                     ,                                               
#SAMPLE:                     ,Poly_Carpet_3K                                 
#SAMPLE MASS /mg:            ,3.98                                           
#MATERIAL:                   ,Polyester Carpet                               
#REFERENCE:                  ,                                               
#REFERENCE MASS /mg:         ,0                                              
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,0                                              
#REFERENCE CRUCIBLE MASS /mg:,0                                              
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                           
#TG RANGE /mg:               ,35000                                          
#TAU-R:                      ,---                                            
#CORR. CODE:                 ,000                                            
#EXO:                        ,-1                                             
#RANGE:                      ,50°C....650°C/0.0....3.0K/min                  
#SEGMENT:                    ,S1-3/3                                         
#SEG. 1:                     ,50°C/00:10/50°C                                
#SEG. 2:                     ,50°C/3.0(K/min)/650°C                          
#SEG. 3:                     ,650°C/00:05/650°C                              
